"Statistic Label","Month","Local Electoral Area","Age Group","UNIT","VALUE"
"Primary Course Completed","2021 January","Borris-In-Ossory-Mountmellick, Laois","5 - 11 years","%",""
"Primary Course Completed","2021 January","Borris-In-Ossory-Mountmellick, Laois","12 years and over","%","2.8"
"Primary Course Completed","2021 January","Portlaoise, Laois","5 - 11 years","%",""
"Primary Course Completed","2021 January","Portlaoise, Laois","12 years and over","%","2.1"
"Primary Course Completed","2021 January","Graiguecullen -Portarlington, Laois","5 - 11 years","%",""
"Primary Course Completed","2021 January","Graiguecullen -Portarlington, Laois","12 years and over","%","2.3"
"Primary Course Completed","2021 January","Carlow, Carlow","5 - 11 years","%",""
"Primary Course Completed","2021 January","Carlow, Carlow","12 years and over","%","1.4"
"Primary Course Completed","2021 January","Tullow, Carlow","5 - 11 years","%",""
"Primary Course Completed","2021 January","Tullow, Carlow","12 years and over","%","2.2"
"Primary Course Completed","2021 January","Muinebeag, Carlow","5 - 11 years","%",""
"Primary Course Completed","2021 January","Muinebeag, Carlow","12 years and over","%","2.1"
"Primary Course Completed","2021 January","Manorhamilton, Leitrim","5 - 11 years","%",""
"Primary Course Completed","2021 January","Manorhamilton, Leitrim","12 years and over","%","3"
"Primary Course Completed","2021 January","Ballinamore, Leitrim","5 - 11 years","%",""
"Primary Course Completed","2021 January","Ballinamore, Leitrim","12 years and over","%","3.4"
"Primary Course Completed","2021 January","Carrick-On-Shannon, Leitrim","5 - 11 years","%",""
"Primary Course Completed","2021 January","Carrick-On-Shannon, Leitrim","12 years and over","%","2.5"
"Primary Course Completed","2021 January","Newcastle West, Limerick","5 - 11 years","%",""
"Primary Course Completed","2021 January","Newcastle West, Limerick","12 years and over","%","2.6"
"Primary Course Completed","2021 January","Adare-Rathkeale, Limerick","5 - 11 years","%",""
"Primary Course Completed","2021 January","Adare-Rathkeale, Limerick","12 years and over","%","2.6"
"Primary Course Completed","2021 January","Cappamore-Kilmallock, Limerick","5 - 11 years","%",""
"Primary Course Completed","2021 January","Cappamore-Kilmallock, Limerick","12 years and over","%","2.7"
"Primary Course Completed","2021 January","Limerick City West, Limerick","5 - 11 years","%",""
"Primary Course Completed","2021 January","Limerick City West, Limerick","12 years and over","%","2.7"
"Primary Course Completed","2021 January","Limerick City North, Limerick","5 - 11 years","%",""
"Primary Course Completed","2021 January","Limerick City North, Limerick","12 years and over","%","1.5"
"Primary Course Completed","2021 January","Limerick City East, Limerick","5 - 11 years","%",""
"Primary Course Completed","2021 January","Limerick City East, Limerick","12 years and over","%","1.9"
"Primary Course Completed","2021 January","Granard, Longford","5 - 11 years","%",""
"Primary Course Completed","2021 January","Granard, Longford","12 years and over","%","3.1"
"Primary Course Completed","2021 January","Ballymahon, Longford","5 - 11 years","%",""
"Primary Course Completed","2021 January","Ballymahon, Longford","12 years and over","%","2.7"
"Primary Course Completed","2021 January","Longford, Longford","5 - 11 years","%",""
"Primary Course Completed","2021 January","Longford, Longford","12 years and over","%","2.2"
"Primary Course Completed","2021 January","Dundalk-Carlingford, Louth","5 - 11 years","%",""
"Primary Course Completed","2021 January","Dundalk-Carlingford, Louth","12 years and over","%","1.5"
"Primary Course Completed","2021 January","Dundalk South, Louth","5 - 11 years","%",""
"Primary Course Completed","2021 January","Dundalk South, Louth","12 years and over","%","1.4"
"Primary Course Completed","2021 January","Ardee, Louth","5 - 11 years","%",""
"Primary Course Completed","2021 January","Ardee, Louth","12 years and over","%","2.1"
"Primary Course Completed","2021 January","Drogheda Rural, Louth","5 - 11 years","%",""
"Primary Course Completed","2021 January","Drogheda Rural, Louth","12 years and over","%","1.9"
"Primary Course Completed","2021 January","Drogheda Urban, Louth","5 - 11 years","%",""
"Primary Course Completed","2021 January","Drogheda Urban, Louth","12 years and over","%","1.5"
"Primary Course Completed","2021 January","Ballina, Mayo","5 - 11 years","%",""
"Primary Course Completed","2021 January","Ballina, Mayo","12 years and over","%","1.9"
"Primary Course Completed","2021 January","Claremorris, Mayo","5 - 11 years","%",""
"Primary Course Completed","2021 January","Claremorris, Mayo","12 years and over","%","2.5"
"Primary Course Completed","2021 January","Castlebar, Mayo","5 - 11 years","%",""
"Primary Course Completed","2021 January","Castlebar, Mayo","12 years and over","%","3"
"Primary Course Completed","2021 January","Belmullet, Mayo","5 - 11 years","%",""
"Primary Course Completed","2021 January","Belmullet, Mayo","12 years and over","%","3.4"
"Primary Course Completed","2021 January","Westport, Mayo","5 - 11 years","%",""
"Primary Course Completed","2021 January","Westport, Mayo","12 years and over","%","2"
"Primary Course Completed","2021 January","Swinford, Mayo","5 - 11 years","%",""
"Primary Course Completed","2021 January","Swinford, Mayo","12 years and over","%","2.6"
"Primary Course Completed","2021 January","Kells, Meath","5 - 11 years","%",""
"Primary Course Completed","2021 January","Kells, Meath","12 years and over","%","2.5"
"Primary Course Completed","2021 January","Laytown-Bettystown, Meath","5 - 11 years","%",""
"Primary Course Completed","2021 January","Laytown-Bettystown, Meath","12 years and over","%","1.9"
"Primary Course Completed","2021 January","Ashbourne, Meath","5 - 11 years","%",""
"Primary Course Completed","2021 January","Ashbourne, Meath","12 years and over","%","1.7"
"Primary Course Completed","2021 January","Ratoath, Meath","5 - 11 years","%",""
"Primary Course Completed","2021 January","Ratoath, Meath","12 years and over","%","1.8"
"Primary Course Completed","2021 January","Trim, Meath","5 - 11 years","%",""
"Primary Course Completed","2021 January","Trim, Meath","12 years and over","%","1.6"
"Primary Course Completed","2021 January","Navan, Meath","5 - 11 years","%",""
"Primary Course Completed","2021 January","Navan, Meath","12 years and over","%","1.8"
"Primary Course Completed","2021 January","Monaghan, Monaghan","5 - 11 years","%",""
"Primary Course Completed","2021 January","Monaghan, Monaghan","12 years and over","%","1.7"
"Primary Course Completed","2021 January","Carrickmacross-Castleblayney, Monaghan","5 - 11 years","%",""
"Primary Course Completed","2021 January","Carrickmacross-Castleblayney, Monaghan","12 years and over","%","2.1"
"Primary Course Completed","2021 January","Ballybay-Clones, Monaghan","5 - 11 years","%",""
"Primary Course Completed","2021 January","Ballybay-Clones, Monaghan","12 years and over","%","2.4"
"Primary Course Completed","2021 January","Birr, Offaly","5 - 11 years","%",""
"Primary Course Completed","2021 January","Birr, Offaly","12 years and over","%","3.7"
"Primary Course Completed","2021 January","Tullamore, Offaly","5 - 11 years","%",""
"Primary Course Completed","2021 January","Tullamore, Offaly","12 years and over","%","3.7"
"Primary Course Completed","2021 January","Edenderry, Offaly","5 - 11 years","%",""
"Primary Course Completed","2021 January","Edenderry, Offaly","12 years and over","%","2.5"
"Primary Course Completed","2021 January","Boyle, Roscommon","5 - 11 years","%",""
"Primary Course Completed","2021 January","Boyle, Roscommon","12 years and over","%","3"
"Primary Course Completed","2021 January","Roscommon, Roscommon","5 - 11 years","%",""
"Primary Course Completed","2021 January","Roscommon, Roscommon","12 years and over","%","4.1"
"Primary Course Completed","2021 January","Athlone, Roscommon","5 - 11 years","%",""
"Primary Course Completed","2021 January","Athlone, Roscommon","12 years and over","%","1.9"
"Primary Course Completed","2021 January","Ballymote-Tobercurry, Sligo","5 - 11 years","%",""
"Primary Course Completed","2021 January","Ballymote-Tobercurry, Sligo","12 years and over","%","3.1"
"Primary Course Completed","2021 January","Sligo-Drumcliff, Sligo","5 - 11 years","%",""
"Primary Course Completed","2021 January","Sligo-Drumcliff, Sligo","12 years and over","%","3.2"
"Primary Course Completed","2021 January","Sligo-Strandhill, Sligo","5 - 11 years","%",""
"Primary Course Completed","2021 January","Sligo-Strandhill, Sligo","12 years and over","%","2.3"
"Primary Course Completed","2021 January","Cavan-Belturbet, Cavan","5 - 11 years","%",""
"Primary Course Completed","2021 January","Cavan-Belturbet, Cavan","12 years and over","%","2.3"
"Primary Course Completed","2021 January","Bailieborough-Cootehill, Cavan","5 - 11 years","%",""
"Primary Course Completed","2021 January","Bailieborough-Cootehill, Cavan","12 years and over","%","2.2"
"Primary Course Completed","2021 January","Ballyjamesduff, Cavan","5 - 11 years","%",""
"Primary Course Completed","2021 January","Ballyjamesduff, Cavan","12 years and over","%","2.4"
"Primary Course Completed","2021 January","Nenagh, Tipperary","5 - 11 years","%",""
"Primary Course Completed","2021 January","Nenagh, Tipperary","12 years and over","%","1.7"
"Primary Course Completed","2021 January","Roscrea-Templemore, Tipperary","5 - 11 years","%",""
"Primary Course Completed","2021 January","Roscrea-Templemore, Tipperary","12 years and over","%","2"
"Primary Course Completed","2021 January","Carrick-On-Suir, Tipperary","5 - 11 years","%",""
"Primary Course Completed","2021 January","Carrick-On-Suir, Tipperary","12 years and over","%","3.1"
"Primary Course Completed","2021 January","Clonmel, Tipperary","5 - 11 years","%",""
"Primary Course Completed","2021 January","Clonmel, Tipperary","12 years and over","%","3.1"
"Primary Course Completed","2021 January","Cashel-Tipperary, Tipperary","5 - 11 years","%",""
"Primary Course Completed","2021 January","Cashel-Tipperary, Tipperary","12 years and over","%","2.4"
"Primary Course Completed","2021 January","Newport, Tipperary","5 - 11 years","%",""
"Primary Course Completed","2021 January","Newport, Tipperary","12 years and over","%","2"
"Primary Course Completed","2021 January","Thurles, Tipperary","5 - 11 years","%",""
"Primary Course Completed","2021 January","Thurles, Tipperary","12 years and over","%","2.6"
"Primary Course Completed","2021 January","Cahir, Tipperary","5 - 11 years","%",""
"Primary Course Completed","2021 January","Cahir, Tipperary","12 years and over","%","3.5"
"Primary Course Completed","2021 January","Dungarvan, Waterford","5 - 11 years","%",""
"Primary Course Completed","2021 January","Dungarvan, Waterford","12 years and over","%","2.1"
"Primary Course Completed","2021 January","Portlaw-Kilmacthomas, Waterford","5 - 11 years","%",""
"Primary Course Completed","2021 January","Portlaw-Kilmacthomas, Waterford","12 years and over","%","3.8"
"Primary Course Completed","2021 January","Lismore, Waterford","5 - 11 years","%",""
"Primary Course Completed","2021 January","Lismore, Waterford","12 years and over","%","2.9"
"Primary Course Completed","2021 January","Tramore-Waterford City West, Waterford","5 - 11 years","%",""
"Primary Course Completed","2021 January","Tramore-Waterford City West, Waterford","12 years and over","%","2.9"
